,Percentage_of_total_national_country_population_living_in_the_city,Art_galleries,Average_daily_number_of_visits_to_top_5_art_exhibitions,Average_income_per_capita_per_year_(ppp),Bookshops,Cinema_screens,Cinemas,Community_centres,Creative_industries_employment_Percentage,Education_level-Percentage_with_degree_level_or_higher,Estimated_attendance_at_main_carnivalfestival,Estimated_attendance_at_main_carnivalfestival_as_Percentage_of_city_population,Festivals_and_celebrations,Film_festivals,GDP_(ppp)(million),"Geographical_area_size,_sq._km",Major_concert_halls,Museumsgalleries_attendance_-_Percentage_working_age_population_attending_at_least_once_a_year,National_museums,"Night_Clubs,_Discos_and_Dance_Halls",No._performing_arts_dance_rehearsal_space,No_artist_studio_units_30102018(2).csv),Number_of_Michelin_star_restaurants,Number_of_admissions_at_all_theatres_per_year,Number_of_admissions_at_main_film_festival,Number_of_bars,"Number_of_bars_per_100,000_population",Number_of_book_loans_by_public_libraries_per_year_(million),Number_of_book_titles_published_in_the_country_in_a_year,Number_of_bookshops_per_100.000_population,Number_of_dance_performances_per_year,Number_of_films_given_theatrical_release_in_the_country_in_a_year,Number_of_foreign_films_given_theatrical_release_in_the_country_in_a_year,Number_of_households,Number_of_international_students_studying_in_the_city,Number_of_international_tourists_per_year,Number_of_international_tourists_per_year_as_Percentage_of_city_population,Number_of_live_music_venues,Number_of_markets,Number_of_music_performances_per_year,Number_of_non-professional_dance_schools,Number_of_other_HeritageHistorical_sites,Number_of_restaurants,"Number_of_restaurants_per_100,000_population",Number_of_students_of_Art__Design_degree_courses_at_generalist_universities,Number_of_students_of_specialist_Art__Design_public_institutions,Number_of_students_of_specialist_Art__Design_public_institutions,Number_of_theatrical_performances_at_all_theatres_per_year,Number_of_video_games_arcades,Number_of_visits_to_top_5_most_visited_museums__galleries,Other_museums,Public_libraries,Specialist_private_cultural_HE_establishments,Specialist_public_cultural_HE_establishments,Theatres,Total_museums,Total_population_number,Total_value_of_cinema_ticket_sales_per_year_-_(ppp),Total_value_of_theatre_ticket_sales_at_all_theatres_per_year_-_m_(ppp),UNESCO_World_Heritage_Sites,Working_age_population,Figure,Per capita (Number_of_admissions_at_all_theatres_per_year,Per capita (Number_of_book_loans_by_public_libraries_per_year_(million),Per capita (Number_of_visits_to_top_5_most_visited_museums__galleries,Per capita (Total_value_of_cinema_ticket_sales_per_year_-_(ppp),Per capita (Total_value_of_theatre_ticket_sales_at_all_theatres_per_year_-_m_(ppp)
Percentage_of_total_national_country_population_living_in_the_city,1,-0.07761231193,0.5223077488,0.251719212,-0.1733491698,-0.05231586904,-0.1020927563,-0.03952340191,-0.2840326421,0.2062884414,-0.200549343,-0.05916813917,-0.0351377015,0.04898942583,0.0528009357,0.06789144899,-0.112731641,0.05872643187,-0.03460897867,-0.2135113219,0.1516798798,0.05769389195,0.05726529952,-0.04541631374,-0.1187228235,-0.0480675552,-0.1546185284,0.04467947969,-0.5692724077,-0.214853922,-0.1247270009,-0.1568145037,-0.07983431588,-0.05276037345,0.2521951764,-0.01854016275,-0.07921033481,0.2669745008,0.07847781577,0.0103230926,-0.1259071897,-0.03080950922,-0.09714427525,-0.2806586961,-0.05444481161,-0.05011739201,-0.05011739201,0.0004526114204,-0.1988874903,0.006325474905,-0.0781493135,-0.0147742688,0.09276803789,-0.05490438104,-0.112487486,-0.1093690428,-0.06802694764,-0.1005117883,-0.1367662554,0.1238073335,-0.1170149581,0.246681213,-0.1337457971,0.04480372514,-0.1107775367,-0.1048726299,-0.1133682524
Art_galleries,-0.07761231193,1,0.4946047311,0.06166844237,0.3427891687,0.4173240721,0.6129710124,0.3720314399,0.2836280887,0.002995246921,0.3211497749,-0.1791747739,0.2051071002,0.4822425298,0.6787113362,-0.05394939278,0.5819880714,0.1939016961,0.3254911392,0.4473026025,0.7996923345,0.2873335438,0.5334494729,0.5956316436,0.306522709,0.172167198,-0.08135727734,0.5747385505,0.3506214314,0.01502163258,0.6133693191,0.2390042215,0.08704225267,0.5662124042,0.5861285567,0.2069895799,-0.1625459106,0.3573283912,0.4416921414,0.4318343081,0.5508555238,0.4373826578,0.3960545672,0.188563806,0.109219995,0.348191419,0.348191419,0.438820521,0.2629114951,0.5625911914,0.3777969023,0.4819893616,0.3529883064,0.3800804546,0.7751991509,0.4410808949,0.4414357841,0.5703792791,0.8746678115,0.1402299087,-0.0002457753942,-0.1098212485,0.09017178759,0.1241219176,-0.2041436199,-0.06239978858,0.7293882551
Average_daily_number_of_visits_to_top_5_art_exhibitions,0.5223077488,0.4946047311,1,0.1146934694,0.5254151989,-0.05363474095,-0.0625495243,0.1942828763,0.5036241337,-0.04335604247,0.03968147385,0.07987335473,-0.1485734162,0.2421381319,-0.04465991503,0.003024645322,0.1131804457,0.1648152055,0.1836217171,0.2285600402,0.498566803,0.2898176787,0.4093313399,0.2760631105,0.2116728239,0.4185772512,-0.2215008934,0.1641901832,-0.08378951102,0.253604145,-0.0548275706,0.005645037122,-0.1513353421,0.02141233526,0.7450048404,0.01952327797,0.01124483171,0.5463999918,0.09050491887,0.05054140241,-0.1231835189,0.1104642146,0.4199974469,0.2848962776,0.4740823766,0.1311201499,0.1311201499,0.1388984588,-0.2766804049,0.1417074365,0.01645652461,0.01725978113,0.07492761252,0.03551738988,0.04286147317,0.04086060367,-0.08135650139,-0.05084902422,0.4039580971,0.1444457712,-0.06903674845,0.262180678,0.02637279472,0.18220252,-0.03447813124,-0.188524705,0.4606523731
Average_income_per_capita_per_year_(ppp),0.251719212,0.06166844237,0.1146934694,1,-0.03372321546,-0.209888312,-0.2510626317,0.1166066685,0.08773428969,0.5010930322,-0.2245632011,-0.002836998988,0.1578070527,0.05590633774,0.2090941607,0.3075389956,0.101797655,0.1316091786,-0.2568925878,-0.1464548911,-0.2688625653,-0.2835670794,0.3892225705,0.056135783,0.01040341385,0.02579400335,-0.1650360414,0.235612677,0.08372794764,0.2327572885,0.18640397,0.3350415361,0.0913398471,-0.1980686803,0.1643739718,0.03851752568,0.1572118265,0.3581850151,-0.01703623661,0.3263377451,-0.0910878159,-0.0401935292,0.08404858333,0.1917505646,-0.0846647678,-0.2025725082,-0.2025725082,-0.08782669052,-0.2694166055,-0.02932721714,-0.06715264725,-0.1947859214,-0.00122864267,-0.3243198281,-0.06140047434,-0.1769928397,-0.3510910202,-0.199343073,0.04038633169,-0.05752615289,-0.05081568578,0.2077829392,0.1035746871,0.5028856507,0.1920660744,-0.05981949071,0.2980463127
Bookshops,-0.1733491698,0.3427891687,0.5254151989,-0.03372321546,1,0.5277863954,0.5458157328,0.5724176516,0.2557149833,-0.04397228129,0.3139404137,-0.2065370465,-0.05414209693,-0.02330367301,0.531919291,0.2128126193,0.4419824057,-0.03491187145,0.5572971877,0.4829295699,0.2241678025,-0.0007936988399,0.3389709852,0.4342243821,0.3425991045,0.1750240356,-0.08339071225,0.5507523647,-0.06501535498,0.4098056975,0.03399884776,0.01660548253,-0.09888910231,0.6553333041,0.3557679153,0.1881044673,-0.2025038133,0.3297174523,0.2445380841,0.1863513839,0.4901476521,-0.0416727279,0.5542297811,0.2309278924,0.1672891337,0.2296548778,0.2296548778,0.2047382124,0.7130204157,0.2090577224,0.1402545988,0.2118511795,0.1927966639,0.08395734061,0.02216540156,0.2319988423,0.7610540287,0.5601344589,0.2340198307,-0.05767720516,-0.02584941271,-0.02711070101,-0.08098952276,-0.08171563252,-0.3026902169,-0.05986723726,0.05630785972
Cinema_screens,-0.05231586904,0.4173240721,-0.05363474095,-0.209888312,0.5277863954,1,0.8679938155,0.6120049115,0.3056401964,-0.1144088735,0.2033033502,-0.3704870692,0.3287536481,0.3936973746,0.6367863838,0.05057617904,0.5455985433,0.1328555091,0.3264587704,0.4533838289,0.6461283565,0.774420481,0.2267599509,0.497472339,0.1337322887,0.04832739374,-0.3583567228,0.3498620979,0.2521122026,-0.06727282521,0.283807437,0.2621764898,0.09646039632,0.7586559896,0.3795506643,0.1869161265,-0.3577094518,0.3896951582,0.7846972132,0.2438425178,0.452618433,0.2988602651,0.316842378,-0.01395424805,0.2958917442,0.566768197,0.566768197,0.516279384,0.2727875643,0.5584516304,0.6465746916,0.5619521988,0.4422784263,0.3874825621,0.4938356251,0.6972219868,0.792000198,0.6903505583,0.308272072,0.1760454832,0.4494547893,-0.0511726864,-0.1368269679,-0.2768194612,-0.3415391629,-0.08574153621,0.04765075984
Cinemas,-0.1020927563,0.6129710124,-0.0625495243,-0.2510626317,0.5458157328,0.8679938155,1,0.4035982439,0.2585337716,-0.1111751121,0.3768972443,-0.319033727,0.2674925711,0.4399917118,0.7049303912,0.01323721048,0.5455954771,0.03571238045,0.4857913574,0.4429616319,0.6894273396,0.6031112156,0.2946078089,0.4937337835,0.1699568793,0.08849864329,-0.238832047,0.3741248247,0.2653235607,-0.01636557461,0.2389001859,0.2128558722,0.004850867015,0.7621085438,0.371140143,0.2110975925,-0.2990180761,0.3995875691,0.739352956,0.2706485236,0.7647542779,0.2137698152,0.3745108709,0.06079901839,0.1785701063,0.4834263679,0.4834263679,0.5095541911,0.4830876793,0.5683225945,0.5685297647,0.7098575468,0.5517163058,0.5123654837,0.5996472176,0.6566329739,0.7571129532,0.7425181038,0.4625751448,0.2062997117,0.1448291034,-0.1005447235,-0.09877029615,-0.2685547857,-0.3041167153,0.009679090094,0.1515322541
Community_centres,-0.03952340191,0.3720314399,0.1942828763,0.1166066685,0.5724176516,0.6120049115,0.4035982439,1,0.2748310363,0.03179378818,-0.170212037,-0.364855809,0.4230745122,0.3327476592,0.3504927111,0.547899735,0.5462614981,0.1203976308,0.1511698341,0.5025267525,0.3356928062,0.2269583112,0.2670823372,0.2568236758,0.2637404609,0.1360125069,-0.009815458973,0.5074048407,0.09756340801,0.3653061952,0.4979663876,0.1696192074,-0.006249592445,0.4988306984,0.6513816756,0.06518300149,-0.1961174966,0.2782277181,0.5564815494,0.7265232917,0.1332181501,0.03967394046,0.1451708178,0.1354107912,0.0375770002,0.6680561617,0.6680561617,0.1400450345,-0.21766602,0.115686352,0.359821374,0.2060719696,0.1504527162,0.2556820504,0.4293369276,0.363948795,0.4388129656,0.215515698,0.1949676009,0.2695836641,0.5414831289,-0.1375627929,0.2440682264,-0.1635845548,-0.369687083,0.1653678347,0.2569414195
Creative_industries_employment_Percentage,-0.2840326421,0.2836280887,0.5036241337,0.08773428969,0.2557149833,0.3056401964,0.2585337716,0.2748310363,1,0.1283145543,-0.217757326,-0.1873579235,0.2589180538,0.4491534944,0.2445746717,-0.1177936286,0.2574588577,0.215027529,0.01167383457,0.324549447,0.3719185965,0.5020928102,0.5225464031,0.4955075131,0.3135306409,0.6189382783,0.282688975,0.3480437428,0.1944339599,0.04818510894,0.2222206129,0.5767063786,0.5574984606,0.2982415502,0.3150767992,0.2169868585,0.01907211296,0.3047210926,0.0697304673,0.1185714682,0.03691817102,-0.09986106002,0.4833592418,0.4071280587,0.4379698907,0.4955832229,0.4955832229,0.4971123962,0.1312691129,0.4021000635,0.5751962429,0.3384840399,0.379644409,0.3879359503,0.4129410003,0.5745634213,0.1911753968,0.5083673396,0.1249249008,0.2696200829,0.2269615977,-0.2179881841,0.2452599008,-0.05350470674,-0.130327884,0.3672388449,0.1152994133
Education_level-Percentage_with_degree_level_or_higher,0.2062884414,0.002995246921,-0.04335604247,0.5010930322,-0.04397228129,-0.1144088735,-0.1111751121,0.03179378818,0.1283145543,1,-0.3396121319,-0.1082529819,0.1320666841,0.1518887733,-0.1535987468,0.3165563918,-0.08623469046,0.1990553027,-0.03045025591,-0.007489457756,-0.03338188277,0.2009847577,-0.1670226527,0.09123442001,0.3391273067,-0.19953746,-0.08261807188,0.07979819976,0.06395905457,0.04953716718,0.08034461822,0.1589354148,0.09946009627,-0.2897751993,0.06881203323,-0.2347376539,-0.1900723406,0.3844131626,-0.2487171773,0.4037578795,-0.1164004838,-0.1935858996,-0.2840715794,-0.2998969561,0.05794426709,0.1985259546,0.1985259546,0.03870946601,-0.2933054719,0.03268176196,0.02912086446,-0.1331505211,0.3492796031,0.06235895663,0.01331158009,0.07629125074,-0.2169181542,0.07995654165,0.1284291915,0.08220106436,-0.1428868306,0.09344389114,0.007129970064,0.5303030877,0.1307670088,0.2067624381,0.292894342
